Single thread result: 1.0000000785399288 | Time taken: 0.6413910388946533
Running tasks on thread pool
Finished thread pool test in 75.61179709434509 seconds
Running tasks on process pool
Finished process pool test in 53.935829877853394 seconds
Thread pool results:
--------------------------------------------------------------------------------
Workers    Mean (s)     Min (s)      Median (s)   Max (s)     
--------------------------------------------------------------------------------
1          0.6371       0.6233       0.6296       0.6731      
2          0.6458       0.6354       0.6382       0.6589      
3          0.6320       0.6262       0.6283       0.6433      
4          0.6277       0.6244       0.6255       0.6378      
5          0.6282       0.6217       0.6237       0.6409      
6          0.6241       0.6215       0.6239       0.6271      
7          0.6251       0.6226       0.6257       0.6280      
8          0.6290       0.6252       0.6273       0.6338      
9          0.6400       0.6347       0.6410       0.6462      
10         0.6394       0.6296       0.6383       0.6480      
11         0.6271       0.6234       0.6267       0.6323      
12         0.6261       0.6236       0.6271       0.6280      
13         0.6277       0.6251       0.6263       0.6349      
14         0.6303       0.6273       0.6290       0.6346      
15         0.6281       0.6272       0.6278       0.6304      
16         0.6301       0.6244       0.6248       0.6394      
17         0.6290       0.6258       0.6267       0.6390      
18         0.6269       0.6257       0.6272       0.6278      
19         0.6271       0.6267       0.6269       0.6278      
20         0.6271       0.6251       0.6271       0.6300      
21         0.6257       0.6239       0.6254       0.6279      
22         0.6271       0.6259       0.6271       0.6279      
23         0.6312       0.6283       0.6296       0.6388      
24         0.6307       0.6263       0.6296       0.6368      
Process pool results:
--------------------------------------------------------------------------------
Workers    Mean (s)     Min (s)      Median (s)   Max (s)     
--------------------------------------------------------------------------------
1          0.7164       0.7125       0.7149       0.7251      
2          0.3892       0.3880       0.3891       0.3909      
3          0.2837       0.2825       0.2837       0.2848      
4          0.2265       0.2251       0.2265       0.2280      
5          0.1950       0.1924       0.1933       0.2028      
6          0.1736       0.1713       0.1735       0.1772      
7          0.1591       0.1578       0.1588       0.1623      
8          0.1498       0.1470       0.1492       0.1546      
9          0.1561       0.1526       0.1557       0.1623      
10         0.1591       0.1511       0.1567       0.1819      
11         0.1580       0.1532       0.1586       0.1615      
12         0.1591       0.1552       0.1591       0.1638      
13         0.1723       0.1636       0.1683       0.1916      
14         0.1747       0.1658       0.1731       0.1843      
15         0.1871       0.1786       0.1896       0.1921      
16         0.1930       0.1837       0.1915       0.2099      
17         0.2002       0.1896       0.2007       0.2106      
18         0.2018       0.1978       0.2015       0.2075      
19         0.2062       0.2002       0.2047       0.2222      
20         0.2147       0.2083       0.2163       0.2200      
21         0.2217       0.2121       0.2212       0.2326      
22         0.2307       0.2218       0.2282       0.2543      
23         0.2308       0.2241       0.2314       0.2350      
24         0.2348       0.2296       0.2340       0.2392      
